Продукт на 100 гр,Белки,Жиры,Углеводы,Калории (ккал)
Абрикос,0.9,0.1,9,44
Абрикосовый сок,0.9,0.1,9,38
Авокадо,2,20,6,212
Агар пищевой,4,0,76,301
Аджика,1,3.7,5.8,59
Айва,0.6,0.5,9.8,40
Айвовый компот,0.4,0,20,79
Айвовый сок,0.5,0,10.6,45
Айран (тан) газированный,1.1,1.5,1.4,24
Активиа Кефирная 1%,2.9,1,4.5,39
Активиа Кефирная 3%,2.9,3,3.6,53
Активиа Питьевая Натуральная,3.2,2.4,4.5,52
Амарант,13.6,7,69,371
Амур белый,18.6,5.3,0,134
Амур чёрный,17.5,2,0,88
Ананас,0.4,0.2,10.6,49
Ананас консервированный,0.1,0.1,14,57
Анчоус атлантический,20.1,6.1,0,135
Анчоусная паста,26,16,4,280
Анчоусы консервированные,20.1,6.1,0,135
Апельсин,0.9,0.2,8.1,36
Апельсиновый сок,0.9,0.2,8.1,36
Арахис,26.3,45.2,9.9,622
Арбуз,0.6,0.1,5.8,25
Артишок,1.2,0.1,6,28
Ацидофилин 0.1%,3,0.1,3.9,31
Ацидофилин 1%,3,1,4,40
Ацидофилин 3.2%,2.8,3.2,3.8,57
Багет,7.5,2.9,51.4,262
Бадьян,18,16,50,337
Базилик свежий,2.5,0.6,4.3,27
Базилик сушеный,14.4,4,61,251
Баклажан,1.2,0.1,4.5,24
Баклажан замороженный,1.3,0.1,5.2,27
Баклажан консервированный,0.9,0.7,7.3,49
Баклажанная икра консервированная,1.7,13.3,5.1,148
Баклажанная икра свежая,0.6,7,6,90
Бамия,2,0.1,3.8,25
Бамия 4 сезона,0.2,0.1,8,23
Банан,1.5,0.2,21.8,95
Баранина,15.6,16.3,0,209
Баранина вареная,24.6,21.4,0,291
Баранина тушеная,20,20.9,0,268
Баранина тушеная,20,20.9,0,268
Бекон,23,45,0,500
Бекон Мираторг Любительский,12,35,0,360
Белуга свежая,21,0.7,0,147
Белые грибы Hortex,3.7,1.7,1.1,34
Белые жареные,4.6,11.5,10.7,162
Белые маринованные,3,0.5,2,24
Белые свежие,3.7,1.7,1.1,34
Белые сушёные,23.4,6.4,31,282
Бразильский орех,14.3,66.4,4.8,656
Брускетта,4.7,23,21.7,315
Брусника,0.7,0.5,9.6,43
Брюква,1.2,0.1,7.7,37
Булгур,12.3,1.3,57.6,342
Бульон говяжий,0.6,0.2,0,4
Бульон грибной,0.5,0.1,0,3
Бульон куриный,2,0.5,0.3,15
Бульон куриный крепкий домашний,2.5,1.2,3.5,36
Бульон куриный постный,0.1,0,0,1
Бульон овощной,0.2,0.1,0.9,5
Бульон рыбный,0.4,0,0,2
Бульонный кубик,2,2,4,40
Ванилин,0.1,0.1,12.7,288
Ваниль,1.2,0.1,12.5,287
Ветчина из индейки обезжиренная,15,1,2,77
Ветчина Империя Вкуса из индейки,11,3,7,99
Ветчина Останкино нежная из индейки,10,10,5,154
Вешенки свежие,2.5,0.3,6.5,38
Виноград,0.6,0.2,16.8,65
Вишня,0.8,0.5,11.3,52
Вишня 4 сезона без косточки,0.8,0.2,10.7,50
Водоросли бурые,1.7,0.6,8.3,43
Водоросли зелёные,1.5,0,5,25
Водоросли красные,1.5,0,5,25
Водоросль нори,46.1,0.1,41,349
Водоросль спирулина,4.2,2.5,9.9,79
Говядина,18.9,12.4,0,187
Говядина вареная,25.8,16.8,0,254
Говядина вареная нежирная,25.7,8.1,0.2,175
Говядина жареная,32.7,28.1,0,384
Говядина мраморная,18,10,0,170
Говядина постная,22.2,7.1,0,158
Говядина постная жареная,29,9.1,0,206
Говядина средней жирности,25,20,0,275
Говядина тушеная,16.8,18.3,0,232
Говядина тушеная Лента,15,17,0,213
Говяжий фарш,17.2,20,0,254
Говяжий фарш жирный,15,25,0,293
Голубика,1,0,8.2,35
Горбуша отварная,22.9,7.8,0,168
Горбуша свежая,20.5,6.5,0,142
Горбуша солёная,22.1,9,0,169
Горошек зелёный,5,0.2,13.8,73
Горошек зелёный замороженный,6.4,0.4,16.3,72
Горчица,5.7,6.4,22,162
Горчица белая (английская),37.1,11.1,5.9,271
Горчица дижонская,9.9,12.7,5.3,143
Горчица Махеевъ столовая Русская,9.6,10.9,11,181
Гранат,0.9,0,13.9,52
Гранатовый сок,0.3,0,14.5,64
Грейпфрут,0.7,0.2,6.5,29
Грецкий орех,15.2,65.2,7,654
Гречка зелёная вареная,4,1,21,110
Гречневая каша из крупы ядрица,3,3.4,14.6,101
Гречневая крупа (ядрица),12.6,3.3,62.1,313
Груша,0.4,0.3,10.9,42
Дайкон,1.2,0,4.1,21
Дорадо,18,3,0,96
Душица (орегано),1.5,0,5,25
Дыня,0.6,0.3,7.4,33
Дыня медовая,0.6,0.3,7.4,33
Ежевика,2,0,6.4,31
Желатин Dr.Oetker пищевой,84,0,0,336
Зелень,2.6,0.4,5.2,36
Зелень сушёная,3,0,24.5,210
Зефир,0.8,0,78.5,304
Зубатка жареная,22.2,11.5,4.1,209
Зубатка запеченная,7.4,8.8,6.8,137
Зубатка отварная,15.5,5.8,0,114
Зубатка пёстрая,19.6,5.3,0,126
Изолят соевого белка,90.1,0.2,3.9,380
Изюм,2.9,0.6,66,264
Изюм кишмиш,2.3,0,71.2,279
Изюм узбекский золотистый,1.8,0,70.9,291
Изюм узбекский золотистый,1.8,0,70.9,291
Икра горбуши зернистая,31.2,11.7,0,230
Икра лососевая зернистая,32,15,0,263
Икра масаго,22,6,1,140
Икра минтаевая пробойная,28.4,1.9,0,131
Икра щучья,17.3,2,0,87
Имбирь,1.8,0.8,15.8,80
Имбирь сухой,9.1,6,70.8,347
Индейка (грудка),19.2,0.7,,84
Индейка (филе отварное),25,1,0,130
Индейка вареная,25.3,10.4,0,195
Индейка жареная,28,6,0,165
Инжир,0.7,0.2,13.7,49
Инжир сушеный,3.1,0.8,57.9,257
Йогурт Epica Натуральный 6%,7,6,4.2,100
Йогурт Total 0%,10.3,0,4,57
Йогурт греческий,5,3.2,3.5,66
Йогурт натуральный 2%,4.3,2,6.2,60
Йогурт натуральный 2.7%,3.2,2.7,4.7,56
Йогурт натуральный 3.2%,5,3.2,3.5,66
Кабачок,0.6,0.3,4.6,24
Кабачок жареный,1.1,6,6.7,88
Кабачок замороженный,0.6,0.3,4.7,21
Какао Dr.Oetker,22,11,12,235
Какао-порошок,24.2,17.5,31.9,374
Какао-порошок,24.2,17.5,31.9,374
Кальмары консервированные,20,2,0,105
Кальмары маринованные,20,2.1,1.8,106
Кальмары отварные,21.2,2.8,2,122
Кальмары с гриля,21.8,2.9,2.1,115
Кальмары свежие,19,2.5,1.8,98
Камбала отварная,18.3,3.3,0,103
Камбала свежая,16.5,1.8,0,83
Капуста белокочанная,1.8,0.1,4.7,27
Капуста белокочанная жареная,1.8,2.8,4.2,49
Капуста брокколи,3,0.4,5.2,28
Капуста брокколи варёная,3,0.4,4,27
Капуста брокколи замороженная,2.7,0.4,4.7,24
Капуста брюссельская,4.8,0,8,43
Капуста квашеная,1.8,0.1,4.4,19
Капуста кольраби,2.8,0,10.7,42
Капуста краснокочанная,0.8,0,7.6,24
Капуста пекинская,1.2,0.2,2,16
Капуста цветная,2.5,0.3,5.4,30
Капуста цветная варёная,1.8,0.3,4,29
Карри,12.7,13.8,25,352
Картофель,2,0.4,16.1,76
Картофель варёный,2,0.4,16.7,82
Кедровые орехи,15.6,56,28.4,680
Кета свежая,22,5.6,0,138
Кета соленая,24.3,9.6,0,184
Кетчуп,1.8,1,22.2,93
Кета свежая,22,5.6,0,138
Кета соленая,24.3,9.6,0,184
Кетчуп,1.8,1,22.2,93
Кефир 0%,3,0.1,3.8,30
Кефир 1%,2.8,1,4,40
Кефир 1.5%,3.3,1.5,3.6,41
Кефир 2%,3.4,2,4.7,51
Кефир 2.5%,2.8,2.5,3.9,50
Кешью необжаренный,17.5,42.5,30.5,572
Киви,1,0.6,10.3,48
Киноа,14.1,6.1,57.2,368
Клетчатка мелкая,16,3.8,23.5,186
Клетчатка Сибирская,0.5,0.5,4,40
Клубника,0.8,0.4,7.5,41
Клюква,0.5,0,6.8,26
Кокосовая стружка,13,65,14,693
Коктейль из морепродуктов в масле,9.3,31,1,319
Коктейль из морепродуктов в рассоле,10,1.5,1.3,59
Кориандр молотый,12.3,17.7,13.1,298
Корица,3.9,3.2,79.8,261
Корюшка,15.4,4.5,0,102
Крабовое мясо,6,1,10,73
Крабовое мясо,6,1,10,73
Крабовые палочки Vici Имитация из сурими (замороженные),6.4,1,18,107
Крабы консервированные,18.7,1.1,0.1,85
Крабы отварные,16,3.6,0,96
Крахмал картофельный,0.1,0,79.6,300
Крахмал кукурузный,1,0.6,85.2,329
Креветки отварные,18.9,2.2,0,95
Креветки свежие,22,1,0,97
Кресс-салат,2.3,0.1,1.3,11
Кролик,21,8,0,156
Лимон,0.9,0.1,3,16
Лисички свежие,1.6,1.1,2.2,20
Лисички сушёные,22.3,7.6,24.2,261
Листы для лазаньи,12,1.5,72.2,350
Листья винограда,5.6,2.1,6.3,93
Личи,0.8,0.3,14.4,65
Лобстер,18.8,0.9,0.5,90
Лосось с гриля,20.7,22.3,0.6,283
Лосось свежий,19.8,6.3,0,142
Лосось солёный,23,13,0,209
Лук зелёный,1.3,0,4.6,19
Лук красный,1.4,0,9.1,42
Лук порей,2,0,8.2,33
Лук репчатый,1.4,0,10.4,47
Лук-шалот,2.5,0.1,16.8,72
Майонез Calve Экстра Легкий,1,8,10,110
Майонез Диетический,1.4,20,4.4,204
Майонез Махеевъ Провансаль,0.6,40,1.8,369
Майонез Махеевъ с перепелиным яйцом,0.5,50.5,1.3,462
Макароны Barilla Fusilli,14,2,69.7,359
Макароны Buitoni Бантики трехцветные,11.7,1.7,71.3,347
Макароны Buitoni Каннеллони крупные,11.5,1.9,71.8,350
Макароны Buitoni Спиральки трехцветные,11.7,1.7,71.3,347
Макароны Makfa,10.4,1.1,71.5,344
Макароны Makfa гречневые,14.1,1,70.9,350
Макароны Makfa цельнозерновые,13.9,1.4,73.1,361
Макароны из полбы цельнозерновые,16.9,2.4,67.8,361
Малина,0.8,0.5,8.3,46
Манго,0.5,0.3,11.5,67
Мандарин,0.8,0.2,7.5,33
Манная крупа,10.3,1,67.4,328
Маракуйя,2.4,0.4,13.4,68
Маслины,2.2,10.5,5.1,166
Маслины Бондюэль с косточкой / без косточки,0.8,10.7,6.3,115
Масло абрикосовое,0,99.9,0,899
Масло авокадо,0,100,0,884
Масло амаранта,0,81.8,0,736
Масло арахисовое,0,99.9,0,899
Масло какао,0,99.9,0,899
Масло конопляное,0,99.9,0,899
Масло кукурузное,0,99.9,0,899
Масло кунжутное,0,99.9,0,899
Масло оливковое,0,99.8,0,898
Масло растительное рафинированное,0,99,0,899
Масло сливочное,0.5,82.5,0.8,748
Масло сливочное 60%,1.3,60,1.7,552
Масло сливочное 67%,1,67,1.6,610
Масляная рыба,18.8,4.2,0,112
Масляная рыба копченая,18,12,0,180
Маслята свежие,2.4,0.7,1.7,19
Мёд,0.8,0,81.5,329
Мидии отварные,9.1,1.5,0,50
Миндаль сладкий,18.6,57.7,16.2,645
Минтай (филе),16,1,0,72
Минтай отварной,17.6,1,0,79
Минтай свежий,15.9,0.9,0,72
Молоко 0.1% (обезжиренное),2,0.1,4.8,31
Молоко 0.5%,2.8,0.5,4.9,35
Молоко 0.7%,3.3,0.7,4.7,38
Молоко 1%,3.3,1,4.8,41
Молоко 1.5%,2.8,1.5,4.7,44
Молоко 2.5%,2.8,2.5,4.7,52
Молоко кокосовое Blue Dragon,1.8,14.9,2.7,152
Молоко соевое,3.3,1.8,5.7,54
Морепродукты,15.5,1,0.1,85
Морепродукты консервированные,10,1.7,1.3,61
Морковь,1.3,0.1,6.9,32
Морковь варёная,0.8,0.3,5,25
Морошка,0.8,0,9.8,28
Морская капуста,0.8,5.1,0,49
Морская капуста маринованная,1,5,3,61
Мука амарантовая,8.9,1.7,61.7,298
Мука арахисовая,25,47,14.5,590
Мука гречневая С.Пудовъ,14,1,70,350
Мука из зеленой гречки,12.6,3.3,62,328
Мука из овсяных отрубей,18,7.1,45.3,320
Мука кокосовая,20,16.6,60,466
Мука кукурузная тонкого помола С.Пудовъ,7,1.5,72,330
Мука кукурузная цельнозерновая ВкусВилл,7.2,1.5,68.9,318
Мука льняная,36,10,9,270
Мука овсяная С.Пудовъ,13,7,63,270
Мука пшеничная,9.2,1.2,74.9,342
Мука пшеничная из твёрдых сортов,12,1.7,69.4,342
Мука пшеничная с отрубями С.Пудовъ,10,1,68,320
Мука пшеничная цельнозерновая,11.5,2.2,55.8,298
Мука ржаная обдирная,9,1,73,325
Мука рисовая С.Пудовъ,7,1,79,350
Мята свежая,3.7,0.4,8,49
Нут,19,6,61,364
Облепиха,1.2,5.4,5.7,82
Овсяные хлопья Геркулес,12.5,6.2,61,352
Огурец,0.8,0.1,2.8,15
Окунь морской отварной,19.9,3.6,0,112
Окунь морской свежий,15.3,1.5,0,79
Окунь морской тушеный,10.9,6.6,4.2,120
Оливки,0.8,10.7,6.3,115
Осётр отварной,17.7,12,,179
Осётр припущенный,17.8,11.9,0,179
Осётр свежий,16.4,10.9,0,163
Осьминог,18.2,0,0,73
Палтус отварной,14,17.8,0,216
Палтус свежий,18.9,3,0,102
Пангасиус,15,3,,89
Папайя,0.6,0.1,9.2,48
Паприка сушеная,14.1,12.8,34,358
Паста (Макаронные изделия),10,1.1,71.5,344
Паста Bombbar арахисовая,28,45,10,557
Паста DopDrops кокосовая,6.9,65,14.3,672
Патиссон,0.6,0.1,4.3,19
Пахта 1%,3.3,1,4.7,40
Пектин,0,0,89.6,336
Пеленгас,18,5,0,84
Перепелка,21.8,4.5,0,134
Перец белый,10.4,2.1,42.4,296
Перец белый молотый,10.4,2.1,42.4,296
Перец водяной (горец перечный),0.1,0.1,0.1,1
Перец душистый,6.1,8.7,50.5,263
Перец зелёный горошек,2,0.2,7.9,40
Перец кайенский,0.7,0.2,9.8,43
Перец красный молотый,0.7,0.3,4.6,21
Перец сладкий красный,1.3,0,5.3,27
Перец чёрный молотый,10.4,3.3,38.7,251
Перец чили,2,0.2,9.5,40
Перловая крупа,9.3,1.1,73.7,320
Персик,0.9,0.1,11.3,46
Петрушка,3.7,0.4,7.6,47
Пикша,17.2,0.2,0,71
Пита,7.4,0.8,49.9,242
Полба,14.7,2.2,61.2,337
Помело,0.6,0.2,6.7,32
Путассу,16.1,0.9,,72
Пшеничная крупа Агро-Альянс,13,1,71,340
Разрыхлитель теста,0.1,0,19.6,79
Ревень,0.7,0.1,2.5,13
Редис,1.2,0.1,3.4,19
Редька белая,1.4,0,4.1,21
Рис белый,6.7,0.7,78.9,344
Рис белый вареный,2.2,0.5,24.9,116
Рис бурый,7.4,1.8,72.9,337
Рис Дикий + Парбоилд Worlds Rice,13.7,1,74.2,358
Рис дикий вареный,4,0.3,21.1,100
Рис дикий чёрный,4.1,0.4,21,101
Рис длиннозерный,7.1,0.7,78,365
Рис красный нешлифованный,10.5,2.5,70.5,362
Рисовая бумага,5.8,0,77,333
Рожь (зерна),9.9,2.2,55.8,283
Розмарин,3.3,5.9,20.7,131
Руккола,2.6,0.7,2.1,25
Ряженка 3.2%,2.9,3.2,4.1,57
Ряженка 4%,2.8,4,4.2,67
Сайра свежая,18.6,12,0,182
Салат Айсберг,0.9,0.1,1.8,14
Сахар ванильный,0,0,98.5,394
Сахар кокосовый,1.1,0.4,93.4,382
Сахар тростниковый,0,0,99.4,398
Сахар-песок,0,0,99.7,398
Сахар-рафинад,0,0,99.9,400
Сахарозаменитель Fit Parad №1,0,0,0.2,1
Сахарозаменитель Fit Parad №7,0,0,0,0
Свекла,1.5,0.1,8.8,43
Свекла варёная,1.8,0,10.8,49
Свекла тушеная,2.7,5.5,12.2,106
Свинина постная,19.4,7.1,0,160
Сельдь свежая,16.3,10.7,0,161
Сельдь соленая,19.8,15.4,0,217
Сёмга на гриле,21.8,14.1,0,230
Сёмга на пару,19.3,14,0,197
Сёмга отварная,22.5,12.5,0,189
Семена льна,18.3,42.2,28.9,534
Семена чиа,16.5,30.7,42.1,512
Сибас,18,3,0,99
Сиг,19,7.5,0,144
Сироп кленовый,0,0.1,67.4,260
Скумбрия на пару,18,13.2,0,191
Скумбрия отварная,19.6,14.7,0,211
Скумбрия свежая,18,13.2,0,191
Слива,0.8,0.3,9.6,42
Сливки 10% (нежирные),3,10,4,118
Сливки 15% (маложирные),2.3,15,3.6,161
Сливки 20% (средней жирности),2.8,20,3.7,205
Сливки 33% (классические),2.2,33,4,322
Сметана 15% (маложирная),2.6,15,3,158
Сметана 18%,2.5,18,3.6,184
Сметана 20% (средней жирности),2.8,20,3.2,206
Смородина красная,0.6,0.2,7.7,43
Смородина чёрная,1,0.4,7.3,44
Соевое мясо,52,1,17.6,296
Соус карри,1.4,23.1,14.9,267
Соус кисло-сладкий,0.3,0.8,39.7,167
Соус песто,5,45,6,454
Соус соевый Heinz,2.6,0,43,183
Соус соевый Сэн Сой Премиум Терияки,4.8,0,25.1,119
Соус томатный,1.7,7.8,4.5,80
Спагетти из киноа цельнозерновые,5.4,1.8,76.8,359
Судак отварной,21.3,1.3,0,97
Судак припущенный,19.6,1.2,0,89
Судак свежий,19.2,0.7,0,84
Сыр Hochland творожный с зеленью,6,20,2,212
Сыр Hochland Фетакса Классическая в рассоле 45%,11,14.5,2,183
Сыр Vitalat Рикотта,7,6,0,97
Сыр Адыгейский,18.5,14,0,240
Сыр Арла Натура Лайт,29,16,1,260
Сыр Арла Натура Моцарелла,26,21.7,1,303
Сыр брынза (из коровьего молока),17.9,20.1,0,260
Сыр Гауда,25,27,2,356
Сыр Камамбер,21,23,0,291
Сыр Пармезан,33,28,0,392
Сыр Рикотта,11,13,3,174
Сыр Ровеньки Диетический 20%,32,9,0,209
Сыр Тофу,8.1,4.2,0.6,73
Сыр Фета,17,24,0,290
Творог 5%,17.2,5,1.8,121
Творог 9% (полужирный),16.7,9,2,159
Творог Простоквашино 0% мягкий,12,0.1,3.5,63
Творог Простоквашино 2% нежирный,18,2,3.3,103
Творог Простоквашино 5% зерненый,12.7,5,2.4,105
Телятина отварная,30.7,0.9,0,131
Телячья мякоть,20.5,2.4,0,105
Тесто слоеное бездрожжевое 365 дней,5.5,18,38,340
Тиляпия,20.1,1.7,0,96
Тиляпия (филе),20.8,1.7,0,96
Томат (помидор),1.1,0.2,3.7,20
Томат вяленый,14.1,3,43.5,258
Томат черри,0.8,0.1,2.8,15
Томатная паста,2.5,0.3,16.7,80
Томатный сок,1.1,0.2,3.8,21
Треска (печень в масле),4.2,65.7,1.2,613
Треска отварная,17.8,0.7,0,78
Треска с гриля,22.1,9.1,0.6,172
Треска свежая,17.7,0.7,0,78
Треска запечённая,6,3.7,8,90
Трюфели свежие,5.9,0.5,5.3,51
Тунец в растительном масле,27.1,9,0,190
Тунец в собственном соку,21,1.2,0,96
Тунец копченый,24.4,4.6,0,139
Тунец свежий,23,1,0,101
Тыква,1.3,0.3,7.7,28
Угорь копчёный,17.9,28.6,0,326
Угорь морской свежий,19.1,1.9,0,93
Укроп,2.5,0.5,6.3,38
Укроп сушеный,2.5,0.5,6.3,40
Уксус бальзамический,0.5,0,17,88
Уксус белый винный,0,0,5.9,14
Устрицы отварные,14,3,0,95
Утиная грудка,18.9,9,2,172
Утиная грудка без кожи и жира,19,6,0,145
Фасоль белая,20.9,1.8,64,325
Фасоль белая консервированная,6.7,0,16,91
Фасоль Бондюэль красная консервированная,6.7,0.3,17.4,99
Фасоль стручковая,2,0.2,3.6,24
Физалис,1,1,3.9,32
Финики,2.5,0.5,69.2,274
Фисташки,20,50,7,556
Форель морская свежая,20.5,4.3,0,157
Форель отварная,15.5,3,0,89
Форель радужная,20.5,3.5,0,119
Форель слабосолёная,20.6,10.1,0,186
Фруктоза,0,0,99.8,399
Фундук,16.1,66.9,9.9,704
Фунчоза,0.7,0.5,84,320
Хек (филе),16.5,1.8,0,82
Хлеб Бородинский,6.9,1.3,40.9,208
Хлеб Дарницкий,6.6,1.1,41,206
Хлеб Кернброт немецкий цельнозерновой,6.5,4,39.3,222
Хлебцы Dr.Korner Гречневые с витаминами,12,3,52,320
Хлебцы Dr.Korner Семь злаков,10,2,57,290
Хлебцы Finn Crisp Caraway с тмином,11,2.4,60,360
Хлебцы итальянские Baker House с семенами подсолнечника,8,14,35,300
Хлорелла в порошке,66.6,0.5,16.7,393
Хурма,0.5,0.3,15.3,66
Черешня,1.1,0.4,11.5,50
Черника,1.1,0.4,7.6,44
Чернослив,2.3,0.7,57.5,231
Чечевица Агро-Альянс Элитная,28,2,58,360
Чечевица варёная,7.8,0,20.1,112
Чечевица красная,21.6,1.1,48,314
Шампиньоны свежие,4.3,1,0.1,27
Шампиньоны сушеные,26.8,4.5,30,261
Шоколад Бабаевский Горький,8,36,46.8,540
Шоколад горький,6.2,35.4,48.2,539
Шоколад Победа вкуса 72% горький со стевией,10,36,25,460
Шпинат,2.9,0.3,2,22
Щавель,1.5,0.3,2.9,19
Щука отварная,21.3,1.3,0,98
Щука свежая,18.4,0.8,0,82
Яблоко печёное кисло-сладкое,0.5,0.5,12.3,59
Яблоко печёное сладкое,0.5,0.3,24,89
Яблоко Голден,0.5,0.2,10.7,53
Яблоко Гренни Смит,0.4,0.4,9.7,48
Ягнятина,16.2,14.1,0,192
Язык морской,10.3,5.2,0,88
Яйцо куриное,12.7,10.9,0.7,157
Яйцо куриное (белок),11.1,0,0,44
Яйцо куриное (вареное вкрутую),12.9,11.6,0.8,160
Яйцо куриное (вареное всмятку),12.8,11.6,0.8,159
Яйцо куриное (желток),16.2,31.2,1,352
Яйцо перепелиное,11.9,13.1,0.6,168
Ячменная крупа,10,1.3,71.7,324
Ячневая крупа,10.4,1.3,66.3,324